"Subject","tBodyAccmeanX","tBodyAccmeanY","tBodyAccmeanZ","tBodyAccstdX","tBodyAccstdY","tBodyAccstdZ","ActivityName"
1,0.27831632,-0.018048727,-0.10840311,-0.99566688,-0.99187043,-0.99635754,"LAYING"
1,0.27890115,-0.017814424,-0.10698796,-0.99585495,-0.99727068,-0.99398513,"LAYING"
1,0.27972834,-0.01600381,-0.1073364,-0.99493112,-0.99657148,-0.99415005,"LAYING"
1,0.27603949,-0.017357172,-0.10897656,-0.99642945,-0.99240921,-0.99281446,"LAYING"
1,0.28202074,-0.017589649,-0.10793379,-0.99523745,-0.99659185,-0.99515189,"LAYING"
1,-0.066238871,0.07922905,-1,-0.68377891,-0.53851271,-0.085059822,"LAYING"
1,-0.083287063,0.010297707,-0.51608391,-0.73819996,-0.87810967,0.057095425,"LAYING"
1,0.27837321,-0.020560964,-0.096824565,-0.98488259,-0.99111837,-0.98211178,"LAYING"
1,0.27655526,-0.01786855,-0.10762126,-0.9941946,-0.99637166,-0.99561514,"LAYING"
1,0.27800654,-0.01780317,-0.10896485,-0.9944254,-0.99487263,-0.99488582,"LAYING"
1,0.2802064,-0.01839626,-0.10748863,-0.99647493,-0.99406876,-0.99186131,"LAYING"
1,0.28182774,-0.018626474,-0.10527824,-0.99628711,-0.99219394,-0.99020448,"LAYING"
1,0.27672941,-0.017209548,-0.10563797,-0.99478811,-0.99103132,-0.99318722,"LAYING"
1,-0.16642569,-0.11935251,0.13303497,-0.63313536,-0.18977503,-0.31933629,"LAYING"
1,-0.23910256,-0.096904391,0.14803461,-0.63732529,-0.12769222,-0.25892403,"LAYING"
1,0.27575263,-0.016788627,-0.10562315,-0.99497148,-0.99383336,-0.99862454,"LAYING"
1,0.27957476,-0.017275722,-0.10948053,-0.99613535,-0.99581156,-0.99868915,"LAYING"
1,0.27652699,-0.0168191,-0.10798311,-0.99677544,-0.99725636,-0.99542164,"LAYING"
1,0.27812334,-0.017146303,-0.10801374,-0.99492812,-0.99835905,-0.99201143,"LAYING"
1,0.27588359,-0.016150309,-0.10882921,-0.99551063,-0.99554804,-0.9940008,"LAYING"
1,0.27783021,-0.017684054,-0.1057035,-0.99614315,-0.99596875,-0.9948886,"LAYING"
1,0.27937115,-0.017644953,-0.10818111,-0.99523683,-0.99581009,-0.99443045,"LAYING"
1,0.019016151,-0.0070373566,-0.028333356,-0.66129361,-0.71335257,-0.70115517,"LAYING"
1,0.27714164,-0.01806797,-0.11041766,-0.99502039,-0.99533986,-0.99241301,"LAYING"
1,0.40347433,-0.015074404,-0.11816739,-0.91481115,-0.89523112,-0.89174811,"LAYING"
